priority,category,layer,occurrences_verified,evidence,root_cause,impact,recommended_action,status
P0,CI topology,workflow,2,"PR #23 initially had no dedicated run; main workflow pull_request targets main only; Run #535 cancelled","Layered PR bases are not aligned with workflow trigger topology","Required checks cannot be trusted on intermediate PR bases","Create dedicated CI topology PR and define/verify layered-base behavior","blocked"
P0,ZIP browser test,e2e,1,"PR #23 patch and absence of an earlier live run","Previous test waited for download before triggering download","Operational ZIP behavior was not actually verified","Keep PR #23 and require completed desktop test","in_progress"
P1,Dependency drift,dependency-contract,3,"react-resizable-panels missing from manifest; vite-tsconfig-paths range drift; react-toggle-group range drift","package.json and lockfile were edited non-atomically","Repeated CI dependency failures","Atomic manifest/lockfile changes plus validator","fixed-class"
P1,test:chat contract,integration,1,"Missing package script test:chat and missing CI gate","Package script and CI contract were changed out of sync","Integration gate failed before browser testing","Treat package script, workflow and validator as one contract","fixed"
P1,Flex architecture/test drift,integration-e2e,1,"VisitorChatWidget removed while Flex browser contract remained","Foundation change altered runtime surface outside contract scope","Browser contract became invalid","Preserve tested runtime surfaces or migrate test atomically","fixed"
P1,Flex lint failure,lint,1,"Run #519: VisitorChatWidget empty block statements","Restored widget did not meet lint rules","Lint blocked all downstream gates","Typed non-empty catch handling","fixed"
P1,Flex TypeScript failure,typecheck,1,"Run #520: role:string not assignable to Role at lines 70 and 82","Object literal inference widened role inside state updater","Typecheck blocked all downstream browser tests","Use explicitly typed ChatMessage objects","fixed"
P2,Browser cancellations,e2e,3,"Runs #514, #517 and #535 reached browser stage and were cancelled","Operational browser stages are vulnerable to slow/blocking execution or CI orchestration","Reduced merge confidence","Retain traces/video and isolate/repeat targeted tests","investigate"
P2,Deprecated npm packages,maintenance,1,"npm ci warnings for tsconfck, esbuild-kit, recharts","Stale development/runtime dependency tree","Maintenance risk; not current blocker","Dedicated dependency modernization PR","open"
P2,Large Vite chunks,build,1,"Vite warned about chunks >500 kB","Insufficient client/server code splitting","Performance risk; build still passes","Analyze bundle and split heavy modules","open"
P2,GitHub Actions Node 20 warnings,ci-maintenance,1,"Runner warns checkout/setup-node/upload-artifact target Node 20","Actions runtime deprecation on hosted runners","Future CI maintenance risk","Upgrade actions versions when stable","open"
P2,Localization advisories,i18n,1,"Validation PASS with glossary warnings and English fallback advisories","Intentional/partial locale inheritance and terminology review backlog","Content quality risk; not current blocker","Track translations separately from CI blockers","open"
